0.031, 0.677, 0.106, 785675, -3.8
0.034, 0.569, 0.129, 807884, -1.9
0.037, 0.468, 0.109, 663700, 1.2
0.033, 0.314, 0.14, 862885, 4.7
0.001, 0.686, 0.116, 486083, -0.4
0.018, 0.512, 0.146, 826035, 3.6
0.039, 0.609, 0.114, 917829, 0.5
0.022, 0.668, 0.12, 643580, 2.2
0.019, 0.607, 0.107, 892953, 3.1
0.023, 0.62, 0.147, 756098, 3.8
0.033, 0.366, 0.13, 946282, -3.9
0.022, 0.332, 0.081, 395032, 3.9
0.005, 0.248, 0.099, 703146, -2.0
0.018, 0.508, 0.102, 583484, 2.0
0.046, 0.676, 0.137, 519906, -2.1
0.006, 0.553, 0.106, 474772, -2.4
0.006, 0.223, 0.09, 800800, 0.8
0.048, 0.236, 0.091, 994653, -2.3
0.002, 0.574, 0.122, 813780, 1.5
0.027, 0.394, 0.103, 596455, -2.3
0.008, 0.433, 0.14, 924847, 7.6
0.033, 0.32, 0.109, 984777, -1.6
0.048, 0.685, 0.117, 836706, 3.9
0.032, 0.29, 0.088, 535078, -1.2
0.003, 0.342, 0.125, 884889, 2.1
0.039, 0.311, 0.134, 657230, 1.0
0.003, 0.453, 0.131, 728161, 5.1
0.022, 0.631, 0.126, 702548, 6.6
0.008, 0.511, 0.113, 648981, -0.1
0.03, 0.332, 0.086, 543739, -1.1
0.01, 0.597, 0.082, 550311, -0.1
0.018, 0.683, 0.122, 496279, 6.5
0.045, 0.565, 0.149, 343160, -4.0
0.02, 0.468, 0.094, 614295, -0.8
0.023, 0.322, 0.109, 919792, 7.6
0.005, 0.239, 0.117, 360787, 6.6
0.045, 0.422, 0.114, 563470, 5.6
0.041, 0.555, 0.133, 689029, 0.1
0.002, 0.561, 0.137, 796407, 3.2
0.025, 0.597, 0.12, 302105, 6.0
0.023, 0.384, 0.132, 765152, 1.9
0.032, 0.243, 0.12, 793741, 1.9
0.004, 0.608, 0.088, 943864, 0.3
0.027, 0.298, 0.083, 466320, -1.2
